,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score,oldlower
85,5.0,0.999999958903165,-5.362245623076099,12.445750493892923,0.15813049669517176,0.20063604497565646,0.7984,0.8851,0.9203,-188.71141297355553
86,5.0,1.0,-9.942311835648601,12.923105379827396,0.17267586790325662,0.24955907110355025,0.793,0.8684,0.9203,-203.58499944551667
87,5.0,0.999999999999999,-7.937870677042166,12.83600081485135,0.17704265348500003,0.24220459829748153,0.8448,0.8734,0.9203,-201.3165513027238
88,5.0,0.9999327084501806,-3.8179171558481255,12.815378322997152,0.18276619720999476,0.2121175760807198,0.8762,0.8494,0.9203,-204.29099858010346
89,5.0,0.9999999999999949,-7.735985212712644,13.166998866667189,0.1960779128659823,0.25393005474994956,0.8822,0.8609,0.9203,-210.6003005687306
90,5.0,7.548595004918746e-24,10.000930393344467,13.089057772713112,0.2475949974946079,0.18736684999442754,0.7522,0.848,0.9203,-235.1828075535714
91,5.0,0.9999999999999964,-7.781776232640342,12.84992040520985,0.17260247335690881,0.2317498323724374,0.8284,0.8474,0.9203,-206.7392165398704
92,5.0,0.9999999999999981,-7.863930833798213,12.826611865439268,0.175061946663005,0.2400155842747308,0.834,0.8569,0.9203,-199.50422999289177
93,5.0,0.9998525892164306,-3.619808112431107,13.066542531908851,0.20530579318491626,0.23133038571801035,0.8726,0.8467,0.9203,-210.6351829851194
94,5.0,0.9999999999828367,-6.626703725930471,12.99679764136263,0.19118063280870146,0.24121307437847173,0.8809,0.8821,0.9203,-204.48152473869175
95,5.0,0.0006163022471835283,3.2312259742292793,12.989778689436303,0.22194588827670336,0.20019980390930792,0.7992,0.8546,0.9203,-219.7726187234962
96,5.0,1.0,-9.47547460767071,13.166464518344243,0.18664180701294197,0.25508593564826787,0.7968,0.8653,0.9203,-209.36309461649816
97,5.0,0.9999999832477715,-5.522061813135564,12.751017736597188,0.1734653732958642,0.22304266111071291,0.8294,0.8771,0.9203,-190.54900268885072
98,5.0,0.9999999999461152,-6.455629936236023,13.415579563836069,0.230762128352194,0.2686257389678143,0.8633,0.8585,0.9203,-223.24852878002778
99,5.0,0.9999999998744385,-6.326291735385696,13.014624337603657,0.1863467229063045,0.23982709447636108,0.8713,0.8648,0.9203,-203.11129938831493
100,5.0,0.9999141151661609,-3.7572808699271687,12.892743459279226,0.18836446302275345,0.21471792544958002,0.7983,0.853,0.9203,-211.92316148547084
101,5.0,1.0,-9.88410722862594,12.745096151302006,0.16433642807080817,0.24251021896057157,0.7253,0.8793,0.9203,-192.47261789419952
102,5.0,1.0,-10.65747443524994,12.78999332201776,0.16186111195964936,0.24718067653130782,0.8414,0.8821,0.9203,-191.4131692515619
103,5.0,0.9999999999999971,-7.809772660143594,12.743185238306438,0.16809450328992903,0.2227818373734307,0.8838,0.8874,0.9203,-196.6933662911785
104,5.0,1.0,-12.369726088230973,13.02568505336209,0.17678870470437458,0.2683176477978164,0.8655,0.859,0.9203,-203.09869702331383
